,cloudiness,humidity,lat,max_temp,name,wind_speed
0,3,80,-9.8,83.47,Atuona,18.72
1,75,62,10.47,89.6,Buluang,5.82
2,24,84,-38.31,48.37,Barrow,7.54
3,73,44,58.45,55.93,Yeniseysk,8.93
4,75,71,-42.78,57.2,New Norfolk,16.11
5,70,94,-34.42,55.99,Hermanus,8.3
6,82,63,16.98,83.83,Ratnagiri,5.03
7,40,76,-33.93,60.01,Cape Town,11.41
8,54,61,60.14,41.35,Nanortalik,19.48
9,20,87,38.52,60.8,Ribeira Grande,5.82
10,36,83,50.68,36.67,Severo-Kurilsk,14.47
11,1,83,30.16,75.2,Panama City,6.93
12,20,58,-0.9,88.15,Palu,6.35
13,45,40,-33.64,72.0,Busselton,21.65
14,1,57,39.95,48.2,Kodiak,5.82
15,40,61,78.22,17.6,Longyearbyen,19.46
16,94,71,5.67,84.19,Ugoofaaru,6.93
17,90,87,42.65,55.99,Albany,3.36
18,75,76,39.45,59.0,Saint George,3.06
19,40,56,-32.25,75.2,Kwinana,16.11
20,62,91,70.62,30.19,Chokurdakh,6.82
21,90,82,55.74,32.0,Thompson,9.17
22,90,100,54.32,44.6,Prince Rupert,4.7
23,98,91,-0.95,71.95,Luwuk,0.65
24,0,80,-54.81,33.8,Ushuaia,9.17
25,5,9,18.69,85.27,Bilma,3.44
26,0,62,31.86,68.0,Jericho,0.63
27,20,73,22.08,78.8,Kapaa,9.17
28,0,100,-53.16,26.6,Punta Arenas,5.82
29,100,81,26.02,76.09,Thakurgaon,7.76
30,100,76,-0.6,84.73,Hithadhoo,6.64
31,90,48,-34.67,69.01,Kiama,6.93
32,0,42,15.34,84.2,Vaini,6.93
33,99,94,-28.41,71.41,Sao Luiz Gonzaga,6.96
34,75,81,36.97,55.99,Santa Cruz,10.29
35,75,67,62.45,23.0,Yellowknife,9.17
36,98,85,72.79,25.69,Upernavik,13.67
37,0,87,-26.65,55.4,Luderitz,2.24
38,20,44,37.89,78.8,Annau,4.7
39,70,91,-30.17,71.77,Cidreira,3.2
40,75,100,39.62,63.0,Vardo,3.36
41,90,78,19.71,75.0,Hilo,5.82
42,0,82,-13.71,64.99,Pisco,2.24
43,1,81,36.62,55.99,Pacific Grove,6.93
44,93,88,71.98,22.99,Khatanga,6.85
45,90,81,48.47,42.8,Amqui,4.7
46,36,83,77.48,16.69,Qaanaaq,4.21
47,40,94,-5.2,75.2,Touros,4.7
48,1,73,21.35,78.8,Makakilo City,8.05
49,0,93,38.18,60.01,Fortuna,1.12
50,0,76,-51.62,32.0,Rio Gallegos,9.17
51,0,24,56.73,62.01,Oktyabrskoye,11.18
52,62,72,-34.53,59.0,Bredasdorp,4.7
53,100,79,-23.12,77.71,Rikitea,11.32
54,1,45,45.22,44.6,Dillon,3.71
55,34,64,-46.43,39.91,Mar del Plata,13.22
56,99,80,21.46,78.79,Cockburn Town,23.47
57,100,73,-23.58,72.85,Bluff,11.9
58,0,81,43.56,57.2,Saint-Joseph,3.36
59,40,65,-20.41,81.0,Mahebourg,11.41
60,93,97,68.75,33.07,Cherskiy,2.82
61,75,68,-31.43,64.4,Port Macquarie,6.93
62,90,100,-41.87,51.8,Ancud,4.7
63,57,74,65.61,24.61,Tasiilaq,2.42
64,41,64,-13.19,82.03,Ambilobe,13.44
65,75,57,52.13,48.2,Williams Lake,3.36
66,75,31,60.91,50.0,Narsaq,44.96
67,63,77,-16.52,81.67,Vaitape,21.39
68,0,87,-33.01,57.2,Russell,3.36
69,90,100,45.36,48.2,Saint-Philippe,2.24
70,1,63,53.28,26.6,Lloydminster,9.17
71,61,89,-0.74,77.53,Puerto Ayora,7.45
72,2,45,-31.97,64.4,Broken Hill,16.11
73,0,72,44.66,62.6,Myskhako,4.47
74,100,97,-20.63,63.85,Ponta do Sol,2.93
75,99,31,22.35,59.71,Huejucar,4.83
76,40,49,35.73,75.0,Hasaki,9.17
77,75,62,65.28,23.0,Norman Wells,4.7
78,85,22,28.39,69.01,Lazaro Cardenas,3.0
79,40,100,45.54,36.0,Eganville,2.24
80,99,18,33.99,71.41,Delijan,7.4
81,0,52,-30.97,53.23,Carnarvon,6.69
82,0,50,-17.97,44.23,Oruro,8.14
83,43,93,48.95,46.4,Saint-Pierre,19.46
84,90,100,33.19,72.0,Avera,3.36
85,0,57,59.1,37.93,Vao,5.64
86,1,23,15.17,81.67,Sayyan,3.06
87,90,87,34.64,57.2,Lompoc,3.36
88,0,86,52.17,43.0,Wolfenbuttel,8.05
89,75,100,5.43,73.4,Naze,2.95
90,0,86,73.51,15.25,Dikson,6.4
91,90,93,45.6,50.0,Souillac,4.7
92,20,78,69.44,17.6,Tuktoyaktuk,12.75
93,87,27,31.86,77.35,Nalut,16.89
94,0,21,21.43,95.53,Mecca,2.75
95,100,99,-3.36,70.51,Nabire,2.66
96,100,56,5.46,68.53,Puerto Salgar,3.67
97,75,93,37.14,61.0,Lagoa,6.93
98,1,51,64.84,39.2,Fairbanks,6.93
99,90,70,49.53,48.2,Steinbach,13.87
100,63,77,-16.48,81.67,Faanui,21.39
101,97,91,67.46,34.15,Srednekolymsk,5.97
102,40,93,38.9,66.2,Washington DC.,1.68
103,98,85,26.54,77.53,Marsh Harbour,10.54
104,40,87,43.96,59.0,Cattolica,3.36
105,0,71,40.36,50.0,Belmonte,1.99
106,75,72,-33.59,64.0,Port Alfred,5.99
107,0,33,27.18,73.4,Asyut,8.05
108,75,71,63.84,39.2,Grindavik,8.05
109,20,83,12.48,91.99,Laem Sing,12.75
110,75,94,6.8,77.0,Georgetown,4.7
111,75,73,36.84,73.4,Gorgan,23.04
112,98,72,4.11,82.93,Tole,3.56
113,4,16,32.21,92.65,Liliani,7.49
114,94,84,60.06,51.43,Gornopravdinsk,10.96
115,56,91,71.97,22.09,Saskylakh,9.57
116,100,62,-46.19,64.0,Mataura,10.0
117,90,93,-29.95,55.4,Coquimbo,2.24
118,90,93,39.31,62.01,Port Elizabeth,5.82
119,75,71,-42.88,57.2,Hobart,16.11
120,75,93,43.13,51.8,Verkhnyaya Balkariya,4.47
121,1,45,59.37,41.71,Shuyskoye,12.26
122,97,92,65.37,44.59,Synya,8.88
123,10,65,16.29,85.99,Catuday,7.63
124,40,87,38.02,62.01,Trapani,8.05
125,17,49,-33.21,63.85,Jamestown,8.12
126,20,88,16.99,78.8,Tecoanapa,5.82
127,0,18,39.4,80.6,Pulandian,13.42
128,75,68,36.57,71.6,Sari,13.87
129,20,70,-0.92,87.8,Padang,6.93
130,0,82,45.08,57.2,Rovinj,4.7
131,79,97,-21.64,71.41,Sao Joao da Barra,3.24
132,72,87,-22.97,76.63,Arraial do Cabo,13.53
133,75,88,26.2,77.0,Boda,4.7
134,75,74,5.28,89.01,Victoria,11.41
135,75,59,33.08,60.8,Camacha,8.05
136,50,70,17.41,75.91,Tabuk,3.85
137,100,98,64.42,29.47,Provideniya,3.85
138,90,100,43.26,50.0,Hamilton,3.36
139,0,80,-28.55,59.17,Oranjemund,26.24
140,97,58,-8.93,87.97,Airai,1.95
141,20,70,52.48,44.01,Lowestoft,8.05
142,57,71,3.3,76.81,Kitgum,7.11
143,40,59,31.8,70.0,Gizo,4.7
144,75,63,1.24,95.0,Sri Aman,2.24
145,35,95,-12.79,29.65,Huancavelica,1.74
146,40,69,20.89,77.0,Kahului,9.17
147,20,80,60.79,41.0,Bethel,13.87
148,100,54,-46.28,60.01,Kaitangata,1.01
149,100,98,66.04,43.15,Inta,10.71
150,100,96,63.01,37.03,Chernyshevskiy,11.25
151,75,69,15.31,79.0,El Negrito,2.24
152,75,100,37.34,64.0,Campbellsville,1.68
153,61,12,42.84,77.89,Hami,1.86
154,20,48,43.32,62.6,Nemuro,8.05
155,75,44,33.3,77.0,Baghdad,17.22
156,100,31,35.22,71.05,Garmsar,6.82
157,40,94,5.79,75.2,Anloga,4.68
